epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.439,1.65595,4.1613,2.02293,0.00809,1,0.10794,0.06058,0.92671,4.5301,1.68322,0.000215981,0.000215981,0.000215981
2,541.529,1.13204,3.27584,1.53548,0.61369,0.24364,0.27541,0.12788,1.54811,4.06094,2.73276,0.000429636,0.000429636,0.000429636
3,860.218,1.18963,2.85512,1.59283,0.34252,0.50939,0.37781,0.23291,1.2228,9.57843,2.25833,0.000634486,0.000634486,0.000634486
4,1165.4,1.17806,2.52433,1.55203,0.44097,0.51202,0.5114,0.28302,1.40116,6.15882,2.30703,0.00062738,0.00062738,0.00062738
5,1493.26,1.15509,2.22933,1.52376,0.47363,0.76371,0.70217,0.53182,0.92241,2.59461,1.58123,0.000614174,0.000614174,0.000614174
6,1774.28,1.09796,2.11204,1.46783,0.63569,0.7639,0.78923,0.5675,0.98354,2.64504,1.64754,0.000600967,0.000600967,0.000600967
7,2046.74,0.98724,1.95433,1.38565,0.80458,0.85286,0.899,0.74113,0.75347,1.86594,1.35874,0.00058776,0.00058776,0.00058776
8,2318.48,1.00577,1.89061,1.41243,0.79923,0.85949,0.91166,0.49201,1.58842,3.09114,2.64472,0.000574554,0.000574554,0.000574554
9,2583.8,0.96365,1.71842,1.3737,0.915,0.93873,0.95807,0.82264,0.64318,1.64568,1.25579,0.000561347,0.000561347,0.000561347
10,2854.65,0.9773,1.62463,1.35011,0.88642,0.9343,0.94203,0.74765,0.8362,1.58866,1.3616,0.000548141,0.000548141,0.000548141
11,3168.55,0.92493,1.53581,1.33398,0.90271,0.93931,0.95326,0.7957,0.68182,1.39142,1.28139,0.000534934,0.000534934,0.000534934
12,3445.92,0.9089,1.48662,1.30291,0.93574,0.89384,0.94208,0.81658,0.63886,1.42693,1.21686,0.000521727,0.000521727,0.000521727
13,3743.04,0.86246,1.45087,1.28709,0.94535,0.96957,0.96937,0.84695,0.58785,1.24536,1.14665,0.000508521,0.000508521,0.000508521
14,4046.1,0.81182,1.33873,1.24295,0.93669,0.95935,0.95915,0.84883,0.5833,1.22687,1.18554,0.000495314,0.000495314,0.000495314
15,4330,0.78392,1.25819,1.22843,0.95283,0.96468,0.95714,0.83675,0.585,1.02856,1.16168,0.000482108,0.000482108,0.000482108
16,4608.18,0.87159,1.3123,1.27752,0.92865,0.98093,0.9586,0.85824,0.55981,0.96512,1.13219,0.000468901,0.000468901,0.000468901
17,4874.74,0.79184,1.22459,1.2213,0.95056,0.95407,0.9652,0.87557,0.49518,0.92841,1.08119,0.000455694,0.000455694,0.000455694
18,5138.66,0.76534,1.14274,1.18544,0.95179,0.96711,0.96497,0.85342,0.55585,0.91522,1.10851,0.000442488,0.000442488,0.000442488
19,5409.36,0.7354,1.11482,1.20001,0.95535,0.96372,0.96536,0.83705,0.60005,0.95493,1.19931,0.000429281,0.000429281,0.000429281
20,5670.6,0.75349,1.13002,1.20469,0.95567,0.96526,0.96428,0.83878,0.5866,0.85205,1.14095,0.000416075,0.000416075,0.000416075
21,5931.42,0.71499,1.05358,1.16194,0.94602,0.96999,0.96263,0.88771,0.41899,0.79368,1.01699,0.000402868,0.000402868,0.000402868
22,6203.98,0.72156,1.07331,1.17507,0.95942,0.96766,0.96297,0.89416,0.40149,0.72384,0.99805,0.000389661,0.000389661,0.000389661
23,6500.69,0.70319,1.07012,1.16419,0.92327,0.98093,0.96639,0.89631,0.38526,0.72381,0.98325,0.000376455,0.000376455,0.000376455
24,6803.24,0.70336,1.03482,1.18052,0.95707,0.97014,0.96499,0.86197,0.53546,0.79757,1.09328,0.000363248,0.000363248,0.000363248
25,7113.67,0.71746,1.05148,1.1807,0.9571,0.97072,0.96119,0.90424,0.37258,0.74938,0.96277,0.000350042,0.000350042,0.000350042
26,7386.72,0.65464,0.95572,1.1475,0.9606,0.96378,0.96463,0.87753,0.44927,0.71718,1.01832,0.000336835,0.000336835,0.000336835
27,7658.7,0.69171,1.00052,1.16656,0.96045,0.96811,0.96243,0.91295,0.34178,0.63494,0.94824,0.000323628,0.000323628,0.000323628
28,7952.41,0.61965,0.93074,1.13503,0.94785,0.97571,0.96486,0.89802,0.41008,0.62684,0.98093,0.000310422,0.000310422,0.000310422
29,8233.94,0.6482,0.92404,1.15494,0.95513,0.96962,0.96884,0.90492,0.38224,0.66576,0.96835,0.000297215,0.000297215,0.000297215
30,8506.92,0.63695,0.89493,1.12691,0.96176,0.96355,0.96578,0.91374,0.36343,0.62741,0.95774,0.000284009,0.000284009,0.000284009
31,8799.18,0.58836,0.86169,1.10364,0.96598,0.96451,0.96449,0.92247,0.31213,0.59025,0.92563,0.000270802,0.000270802,0.000270802
32,9094.77,0.62242,0.91758,1.12908,0.95222,0.97571,0.96157,0.90331,0.37258,0.60462,0.94259,0.000257595,0.000257595,0.000257595
33,9410.26,0.61044,0.87633,1.11434,0.95888,0.96996,0.96193,0.91556,0.34551,0.57991,0.93862,0.000244389,0.000244389,0.000244389
34,25763.5,0.59534,0.85983,1.10254,0.95797,0.9664,0.96295,0.93078,0.29401,0.55829,0.9058,0.000231182,0.000231182,0.000231182
35,25998.7,0.57151,0.82349,1.09616,0.95158,0.97594,0.9643,0.93099,0.29539,0.54843,0.90314,0.000217976,0.000217976,0.000217976
36,26250.7,0.58807,0.82995,1.10211,0.95459,0.97192,0.96301,0.93293,0.30302,0.54799,0.90939,0.000204769,0.000204769,0.000204769
37,26495.7,0.5758,0.8132,1.10437,0.95561,0.97287,0.96698,0.92701,0.31762,0.54174,0.90716,0.000191562,0.000191562,0.000191562
38,26745.3,0.56282,0.81401,1.08651,0.95704,0.9721,0.96576,0.93268,0.30686,0.51796,0.89837,0.000178356,0.000178356,0.000178356
39,26996.6,0.56706,0.80552,1.09002,0.95741,0.9715,0.96973,0.93848,0.28227,0.52818,0.89768,0.000165149,0.000165149,0.000165149
40,27240.3,0.55887,0.7994,1.08851,0.9495,0.97203,0.97059,0.94265,0.28487,0.51762,0.89037,0.000151943,0.000151943,0.000151943
41,27485.3,0.31706,0.58881,0.95124,0.95035,0.9724,0.97223,0.9327,0.29038,0.54798,0.89159,0.000138736,0.000138736,0.000138736
42,27730.4,0.27858,0.53721,0.93491,0.95439,0.97016,0.9688,0.95742,0.22731,0.51649,0.85817,0.000125529,0.000125529,0.000125529
43,27972.2,0.2497,0.50681,0.90223,0.94477,0.97602,0.96938,0.94885,0.24654,0.50622,0.86247,0.000112323,0.000112323,0.000112323
44,28220.3,0.2529,0.51144,0.90316,0.96272,0.96357,0.96748,0.95374,0.2129,0.4882,0.84695,9.91162e-05,9.91162e-05,9.91162e-05
45,28461.3,0.24426,0.49269,0.90531,0.9551,0.97024,0.97249,0.95734,0.24007,0.48465,0.85447,8.59096e-05,8.59096e-05,8.59096e-05
46,28701.1,0.23254,0.48129,0.88805,0.96434,0.96848,0.96733,0.95736,0.21067,0.46391,0.83762,7.2703e-05,7.2703e-05,7.2703e-05
47,28945.2,0.21889,0.46538,0.87454,0.95746,0.96955,0.97025,0.9651,0.17972,0.45516,0.82301,5.94964e-05,5.94964e-05,5.94964e-05
48,32156.8,0.2049,0.45118,0.87574,0.95524,0.97299,0.97249,0.96914,0.17397,0.44983,0.82045,4.62898e-05,4.62898e-05,4.62898e-05
49,32601.9,0.19511,0.44576,0.87162,0.9558,0.9725,0.97065,0.96795,0.16598,0.44661,0.81715,3.30832e-05,3.30832e-05,3.30832e-05
50,33053.1,0.19795,0.44271,0.87134,0.94998,0.98092,0.97033,0.967,0.16153,0.43839,0.81529,1.98766e-05,1.98766e-05,1.98766e-05
